id;active;year;gender;want_spam;balance;undo_count
1;f;2004;M;t;-10925;0
2;t;2014;M;t;39050;0
3;f;1994;M;t;0;0
4;f;1992;M;t;0;0
5;f;2005;M;t;475;0
6;f;1989;U;t;0;0
7;f;2006;M;t;2825;0
8;f;1983;M;t;0;0
9;f;1995;U;t;-2700;0
10;t;2010;F;t;20050;0
11;f;1999;U;t;725;0
12;f;1987;M;t;0;0
13;f;0;M;t;-375;0
14;f;2002;M;t;0;0
15;f;2012;F;t;800;0
16;t;2011;M;t;1150;0
17;f;1992;M;t;0;0
18;f;1977;M;t;0;0
19;f;2002;M;t;-1025;0
20;f;1992;U;t;0;0
21;f;2012;M;t;0;0
22;f;2003;U;t;3125;0
23;f;2001;U;t;0;0
24;t;2008;M;t;3000;0
25;t;2011;M;t;9800;0
26;f;2006;M;t;-500;0
27;f;1986;M;t;0;0
28;t;2012;M;t;0;0
29;f;2003;M;t;2350;0
30;f;1999;M;t;-14100;0
31;f;2001;U;t;1200;0
32;t;1991;M;t;9025;0
33;f;2008;M;t;450;0
34;t;2014;F;t;8500;0
35;f;0;U;t;0;0
36;f;1994;M;t;0;0
37;f;2013;M;t;150;0
38;f;2012;F;t;0;0
39;t;2015;M;t;3950;0
40;f;1999;M;t;1050;0
41;f;1992;M;t;-13700;0
42;f;2005;M;t;1600;0
43;t;1998;M;t;150;0
44;f;2003;M;t;0;0
45;f;1989;M;t;0;0
46;f;1987;M;t;8375;0
47;f;1999;M;t;-200;0
48;t;2010;U;t;4200;0
49;f;1991;M;t;0;0
50;f;2003;U;t;350;0
51;f;1998;M;t;0;0
52;t;2013;M;t;16350;0
53;f;1996;M;t;25;0
54;t;2008;M;t;300;0
55;f;1989;M;t;0;0
56;f;1991;M;t;0;0
57;f;2011;M;t;250;0
58;f;1995;M;t;-40600;0
59;t;2004;M;t;41450;0
60;t;2016;M;t;2200;0
61;f;2013;M;t;300;0
62;t;2010;U;t;900;0
63;f;0;U;t;0;0
64;f;1989;M;t;0;0
65;f;2002;M;t;-850;0
66;f;1998;M;t;650;0
67;f;1985;M;t;0;0
68;f;2005;M;t;-700;0
69;f;2000;M;t;-800;0
70;f;2003;M;t;-5450;0
71;t;2014;M;t;250;0
72;f;1983;U;t;0;0
73;f;1991;U;t;0;0
74;t;2014;M;t;12450;0
75;f;2011;M;t;0;0
76;f;2001;M;t;-200;0
77;f;1999;M;t;0;0
78;f;1992;M;t;0;0
79;f;2002;M;t;-3175;0
80;f;1995;M;t;0;0
81;t;2012;M;t;4250;0
82;t;2016;M;t;0;0
83;f;2011;M;t;0;0
84;t;2011;U;t;4800;0
85;f;2006;M;t;0;0
86;t;2014;F;t;7400;0
87;t;2015;M;t;6950;0
88;t;2016;M;t;7350;0
89;f;1994;U;t;-13000;0
90;f;2006;M;t;-5200;0
91;f;1988;M;t;0;0
92;f;2000;M;t;0;0
93;t;2015;F;t;3500;0
94;f;1987;U;t;0;0
95;f;1983;M;t;0;0
96;f;1992;U;t;0;0
97;f;2007;M;t;250;0
98;f;1991;M;t;0;0
99;f;1998;M;t;13775;0
100;f;1988;M;t;0;0
101;t;2013;M;t;5500;0
102;f;2006;U;t;75;0
103;f;1983;M;t;0;0
104;f;1986;M;t;0;0
105;f;2013;M;t;100;0
106;t;2009;M;t;300;0
107;f;2007;M;t;500;0
108;f;1991;M;t;0;0
109;f;2006;M;t;-550;0
110;f;2012;F;t;0;0
111;f;1991;M;t;-44400;0
112;f;1999;M;t;9900;0
113;f;2002;M;t;-5400;0
114;t;2015;M;t;4950;0
115;f;1996;M;t;775;0
116;f;1999;M;t;5625;0
117;f;2007;M;t;750;0
118;f;1987;M;t;0;0
119;t;2015;M;t;5100;0
120;f;1992;U;t;900;0
121;f;2005;U;t;-1450;0
122;f;1998;M;t;-16450;0
123;f;2004;M;t;-325;0
124;t;2015;M;t;250;0
125;t;2007;M;t;700;0
126;f;2001;M;t;4275;0
127;f;1993;M;t;-9000;0
128;f;1993;F;t;28400;0
129;t;2005;M;t;3600;0
130;f;1996;F;t;650;0
131;f;1986;M;t;0;0
132;f;1996;M;t;-19600;0
133;f;1997;M;t;125;0
134;t;2004;M;t;5150;0
135;f;2004;M;t;500;0
136;f;2009;M;t;400;0
137;f;1994;M;t;0;0
138;f;2003;M;t;725;0
139;t;2014;M;t;700;0
140;t;2014;M;f;350;0
141;f;2005;M;t;50;0
142;f;2003;U;t;0;0
143;f;2010;M;t;200;0
144;f;2015;F;t;550;0
145;f;2012;M;t;50;0
146;f;2007;M;t;0;0
147;t;2012;M;t;100;0
148;t;2015;M;t;500;0
149;t;2014;M;t;650;0
150;f;1985;M;t;0;0
151;f;2012;F;t;0;0
152;f;2005;U;t;-825;0
153;f;1987;U;t;0;0
154;f;2007;U;t;50;0
155;t;2015;M;t;900;0
156;t;2014;M;t;500;0
157;f;1986;U;t;0;0
158;f;1992;M;t;0;0
159;f;1997;M;t;0;0
160;f;2013;M;t;5000;0
161;t;2011;M;t;650;0
162;f;1986;U;t;0;0
163;t;2003;M;t;0;0
164;f;1997;M;t;225;0
165;f;2005;U;t;0;0
166;t;2012;M;t;650;0
167;f;2002;M;t;0;0
168;f;1996;M;t;-4000;0
169;t;2015;M;t;800;0
170;f;1998;U;t;-975;0
171;t;2015;M;t;200;0
172;f;1993;F;t;0;0
173;f;1994;M;t;0;0
174;f;1987;U;t;12000;0
175;t;2005;M;t;225;0
176;t;2010;M;t;100;0
177;f;2003;M;t;4250;0
178;f;1993;M;t;0;0
179;f;2003;M;t;-1075;0
180;f;1986;M;t;0;0
181;f;2002;M;t;-5125;0
182;f;1999;U;t;-5100;0
183;t;2015;M;t;10250;0
184;f;2011;M;t;250;0
185;t;1984;U;t;2025;0
186;t;2014;M;t;52400;0
187;f;1991;M;t;0;0
188;f;1986;M;t;0;0
189;t;2016;M;t;3850;0
190;f;2014;M;t;950;0
191;t;2015;M;t;150;0
192;f;1990;M;t;0;0
193;f;2000;M;t;0;0
194;f;2002;U;t;-275;0
195;t;2010;U;t;19700;0
196;f;2008;M;t;22300;0
197;f;1989;U;t;0;0
198;t;1998;M;t;800;0
199;f;2008;M;f;0;0
200;f;2001;F;t;0;0
201;f;2000;F;t;800;0
202;f;1978;M;t;0;0
203;f;2003;M;t;-6050;0
204;f;1990;M;t;0;0
205;t;2010;F;t;34050;0
206;t;2013;M;t;4600;0
207;f;2007;M;t;0;0
208;f;2006;F;t;600;0
209;t;2015;M;t;4400;0
210;f;2015;F;t;350;0
211;f;2008;U;t;2350;0
212;f;1997;M;t;2025;0
213;t;2015;M;t;950;0
214;t;2002;U;t;0;0
215;f;2001;M;t;75450;0
216;f;1987;U;t;0;0
217;t;2013;F;t;500;0
218;f;1987;U;t;0;0
219;f;2003;M;t;0;0
220;t;2010;M;t;450;0
221;f;1997;M;t;975;0
222;t;2004;M;t;2786;0
223;f;1975;M;t;0;0
224;f;1993;M;t;0;0
225;f;2003;U;t;1150;0
226;f;2003;M;t;-1175;0
227;f;1990;M;t;0;0
228;t;2004;M;t;7600;0
229;f;1999;U;t;-22000;0
230;t;2015;M;t;300;0
231;f;1997;M;t;-33775;0
232;f;1984;M;t;0;0
233;t;2014;M;t;0;0
234;f;1992;M;t;0;0
235;f;1998;M;t;-1325;0
236;f;1997;U;t;0;0
237;f;1988;M;t;0;0
238;f;1983;U;t;0;0
239;f;2005;M;t;25;0
240;f;2002;M;t;-2225;0
241;f;2002;M;t;-2150;0
242;f;2009;M;t;100;0
243;f;2003;U;t;2675;0
244;f;1994;M;t;0;0
