id;product_id;price;changed_on
1;4;250;1996-10-24 10:28:26+02
2;3;275;1996-10-24 10:27:59+02
3;2;400;1996-10-24 10:27:36+02
4;1;300;1996-10-24 10:27:08+02
5;3;275;1996-10-24 10:28:33+02
6;5;250;1996-10-24 10:29:04+02
7;6;300;1996-10-24 10:29:57+02
8;7;300;1996-10-24 10:30:29+02
9;1;200;1996-10-25 10:14:54+02
10;2;325;1996-10-25 10:15:16+02
11;3;175;1996-10-25 10:15:37+02
12;4;150;1996-10-25 10:16:10+02
13;5;175;1996-10-25 10:16:31+02
14;6;225;1996-10-25 10:16:49+02
15;6;225;1996-10-25 10:16:52+02
16;7;225;1996-10-25 10:17:11+02
17;8;300;1996-10-28 16:19:58+01
18;1;300;1996-10-29 09:45:24+01
19;2;400;1996-10-29 09:45:35+01
20;3;275;1996-10-29 09:46:00+01
21;4;225;1996-10-29 09:46:24+01
22;1;275;1996-10-29 09:46:34+01
23;5;250;1996-10-29 09:47:05+01
24;6;300;1996-10-29 09:47:23+01
25;7;300;1996-10-29 09:47:36+01
26;8;450;1996-10-29 09:47:53+01
27;8;400;1996-10-29 09:48:45+01
28;4;150;1996-10-29 09:58:29+01
29;8;300;1996-10-29 09:58:39+01
30;4;225;1996-11-01 09:28:10+01
31;8;425;1996-11-01 09:28:32+01
32;9;625;1996-11-07 09:36:39+01
33;10;475;1996-11-07 09:37:59+01
34;11;700;1996-11-14 13:39:29+01
35;12;400;1996-11-14 13:39:50+01
36;13;600;1996-11-14 13:40:27+01
37;14;500;1996-11-14 13:40:52+01
38;15;500;1996-11-14 13:41:35+01
39;16;500;1996-11-14 13:42:53+01
40;15;500;1996-11-19 17:23:51+01
41;15;500;1996-11-19 17:28:27+01
42;17;425;1996-11-25 09:44:22+01
43;17;600;1996-11-25 09:47:02+01
44;17;600;1996-12-04 15:57:35+01
45;18;100;1997-02-04 09:40:53+01
46;18;325;1997-02-04 09:41:30+01
47;18;325;1997-02-04 09:41:42+01
48;18;300;1997-02-06 13:37:36+01
49;17;475;1997-02-06 13:37:45+01
50;9;600;1997-02-06 13:38:11+01
51;7;275;1997-02-06 13:38:25+01
52;6;275;1997-02-06 13:38:32+01
53;5;225;1997-02-06 13:38:40+01
54;4;200;1997-02-06 13:38:47+01
55;3;250;1997-02-06 13:38:55+01
56;2;375;1997-02-06 13:39:02+01
57;1;250;1997-02-06 13:39:10+01
58;8;375;1997-02-06 13:39:40+01
59;10;425;1997-02-06 13:40:11+01
60;19;525;1997-02-07 14:49:36+01
61;20;450;1997-02-11 09:30:49+01
62;7;250;1997-03-10 10:30:42+01
63;21;275;1997-03-10 14:20:47+01
64;17;500;1997-03-13 09:54:44+01
65;22;4000;1997-03-14 18:53:52+01
66;23;4000;1997-03-14 18:54:19+01
67;24;300;1997-04-08 11:12:15+02
68;19;475;1997-04-09 12:31:14+02
69;3;225;1997-04-09 16:11:18+02
70;9;600;1997-04-09 16:11:45+02
71;21;275;1997-04-09 16:13:09+02
72;20;485;1997-05-07 14:18:48+02
73;24;325;1997-05-07 14:19:31+02
74;20;475;1997-05-07 14:20:12+02
75;1;250;1997-05-08 10:42:35+02
76;25;275;1997-05-08 10:43:09+02
77;25;275;1997-05-08 10:43:22+02
78;25;275;1997-05-08 10:47:56+02
79;25;275;1997-05-12 13:30:04+02
80;25;275;1997-05-29 20:05:47+02
81;26;400;1997-11-14 11:45:46+01
82;27;800;1997-11-14 11:46:53+01
83;26;400;1997-11-14 11:47:07+01
84;28;600;1997-11-14 11:48:36+01
85;29;0;1997-11-14 11:59:07+01
86;22;4000;1997-11-14 11:59:43+01
87;23;4000;1997-11-14 12:01:29+01
88;6;275;1997-12-10 11:53:52+01
89;18;300;1997-12-10 11:54:17+01
90;30;0;1997-12-10 11:55:32+01
91;29;400;1998-03-02 14:36:35+01
92;29;400;1998-03-02 14:36:44+01
93;29;400;1998-03-02 14:37:29+01
94;29;400;1998-03-02 14:39:11+01
95;27;800;1998-03-05 14:23:42+01
96;28;600;1998-03-05 14:24:15+01
97;30;1500;1998-03-05 14:29:40+01
98;29;400;1998-03-06 16:19:40+01
99;29;400;1998-03-08 14:34:42+01
100;30;1200;1998-03-08 14:34:54+01
101;7;250;1998-03-11 12:01:59+01
102;19;475;1998-03-11 12:03:08+01
103;30;1300;1998-03-13 13:45:12+01
104;31;-200;1998-05-06 15:59:34+02
105;31;250;1998-05-06 16:02:10+02
106;32;200;1998-05-06 16:02:44+02
107;30;1000;1998-05-18 18:04:57+02
108;1;250;1998-09-23 15:21:42+02
109;1;2500;1998-09-23 15:30:39+02
110;33;200;1998-09-23 15:44:31+02
111;1;2500;1998-09-23 17:29:27+02
112;33;2000;1998-09-23 17:29:59+02
113;33;2000;1998-09-23 17:31:53+02
114;33;2000;1998-09-23 18:14:24+02
115;2;475;1998-09-23 18:56:01+02
116;2;375;1998-09-23 18:56:15+02
117;1;250;1998-09-23 18:59:11+02
118;11;800;1998-09-23 19:00:11+02
119;13;700;1998-09-23 19:01:07+02
120;14;600;1998-09-23 19:01:17+02
121;15;600;1998-09-23 19:02:04+02
122;1;350;1998-09-25 23:37:27+02
123;2;475;1998-09-25 23:37:42+02
124;3;325;1998-09-25 23:37:53+02
125;4;300;1998-09-25 23:38:03+02
126;5;325;1998-09-25 23:38:13+02
127;8;475;1998-09-25 23:40:58+02
128;10;525;1998-09-25 23:41:23+02
129;17;600;1998-09-25 23:41:38+02
130;20;575;1998-09-25 23:41:56+02
131;24;425;1998-09-25 23:42:16+02
132;32;300;1998-09-25 23:43:05+02
133;2;375;1998-11-10 14:44:25+01
134;3;225;1998-11-10 14:44:53+01
135;4;200;1998-11-10 14:45:10+01
136;5;225;1998-11-10 14:45:28+01
137;20;475;1998-11-10 14:46:41+01
138;24;325;1998-11-10 14:47:05+01
139;17;500;1998-11-10 14:47:26+01
140;29;700;1998-11-13 11:28:36+01
141;33;2000;1998-11-24 16:47:34+01
142;32;200;1998-12-02 09:19:29+01
143;17;500;1998-12-28 19:23:23+01
144;8;375;1999-05-06 17:46:20+02
145;34;1000;1999-09-29 15:56:38+02
146;22;4000;1999-10-18 13:37:31+02
147;22;4000;1999-10-18 13:37:52+02
148;22;4000;1999-10-18 13:39:22+02
149;34;1000;1999-10-18 13:41:28+02
150;34;1000;1999-10-18 13:41:54+02
151;34;1000;1999-10-18 13:42:25+02
152;34;1000;1999-10-18 13:42:53+02
153;22;4000;1999-10-18 13:51:07+02
154;22;4000;1999-10-18 13:51:27+02
155;22;4000;1999-10-18 13:52:46+02
156;22;4000;1999-10-18 13:53:01+02
157;17;500;1999-10-29 16:14:32+02
158;30;1000;1999-11-16 15:14:59+01
159;5;225;1999-11-16 15:16:46+01
160;10;525;1999-11-16 15:17:16+01
161;37;0;2000-11-01 16:47:44+01
162;38;650;2001-02-19 12:17:39+01
163;38;600;2001-02-19 12:18:48+01
164;39;0;2001-03-29 12:30:46+02
165;39;0;2001-03-29 12:30:50+02
166;39;0;2001-03-29 12:31:11+02
167;32;200;2001-03-29 12:31:31+02
168;39;0;2001-03-29 12:31:40+02
169;40;100;2001-05-02 14:04:35+02
170;15;600;2001-05-04 13:47:58+02
171;29;700;2001-05-04 13:51:33+02
172;8;375;2001-05-04 15:23:34+02
173;39;0;2001-05-04 18:02:37+02
174;2;425;2001-05-09 15:30:27+02
175;3;250;2001-05-09 15:30:49+02
176;4;225;2001-05-09 15:31:05+02
177;11;900;2001-05-09 15:31:44+02
178;12;500;2001-05-09 15:31:59+02
179;13;700;2001-05-09 15:32:31+02
180;14;650;2001-05-09 15:32:42+02
181;16;525;2001-05-09 15:33:03+02
182;17;525;2001-05-09 15:33:14+02
183;20;600;2001-05-09 15:33:36+02
184;29;700;2001-05-09 15:33:59+02
185;38;625;2001-05-09 15:34:15+02
186;12;500;2001-12-20 14:53:03+01
187;22;2500;2001-12-20 14:53:29+01
188;41;9000;2001-12-20 14:54:04+01
189;42;14000;2001-12-20 14:56:56+01
190;41;9000;2001-12-20 15:11:07+01
191;42;14000;2001-12-20 15:11:26+01
192;22;2500;2001-12-20 15:12:04+01
193;40;100;2001-12-20 15:12:21+01
194;34;1000;2001-12-20 15:12:42+01
195;26;400;2001-12-20 15:13:09+01
196;28;600;2001-12-20 15:13:26+01
197;27;800;2001-12-20 15:13:48+01
198;42;14000;2001-12-28 11:47:00+01
199;42;14000;2001-12-28 11:47:41+01
200;26;400;2002-02-14 15:10:09+01
201;27;900;2002-02-14 15:11:06+01
202;17;550;2002-06-25 12:48:07+02
203;12;500;2002-09-30 10:53:30+02
204;12;500;2002-11-14 17:26:57+01
205;13;700;2002-11-15 15:18:04+01
206;2;450;2002-11-15 15:18:52+01
207;45;275;2002-11-15 15:19:06+01
208;24;350;2002-11-15 15:19:24+01
209;20;625;2002-11-15 15:19:37+01
210;17;575;2002-11-15 15:19:51+01
211;38;700;2002-11-15 15:20:04+01
212;11;1050;2002-11-15 15:20:35+01
213;16;625;2002-11-15 15:20:57+01
214;37;1200;2002-11-15 15:23:00+01
215;11;1050;2002-11-15 15:23:39+01
216;37;1200;2002-11-15 15:23:53+01
217;11;1050;2002-11-15 15:24:10+01
218;11;1050;2002-11-15 16:01:20+01
219;37;1200;2002-11-15 16:01:31+01
220;37;1300;2002-11-16 12:41:51+01
221;46;0;2002-11-22 15:03:53+01
222;47;900;2002-11-22 15:04:10+01
223;41;8000;2003-01-20 13:25:18+01
224;42;15000;2003-01-20 13:25:30+01
225;22;3000;2003-01-20 13:25:57+01
226;23;2500;2003-01-20 13:26:09+01
227;22;3000;2003-02-03 15:55:39+01
228;23;2500;2003-02-03 15:55:45+01
229;41;8000;2003-02-03 15:55:53+01
230;42;15000;2003-02-03 15:55:57+01
231;16;675;2003-03-26 14:51:25+01
232;13;700;2003-03-26 14:52:07+01
233;29;700;2003-11-07 13:48:18+01
234;41;7000;2003-12-05 02:47:44+01
235;42;11500;2003-12-05 02:48:20+01
236;41;7000;2004-04-15 13:41:13+02
237;42;11500;2004-04-15 13:41:22+02
238;48;3000;2004-04-27 11:38:21+02
239;48;3000;2004-05-13 10:50:50+02
240;41;7000;2004-05-13 10:51:01+02
241;42;11500;2004-05-13 10:51:07+02
242;49;45000;2004-05-13 10:52:28+02
243;50;13000;2004-05-13 10:52:47+02
244;50;13000;2004-06-10 15:45:51+02
245;31;150;2004-06-10 15:46:28+02
246;37;1200;2004-06-10 15:47:29+02
247;50;13000;2004-06-13 23:14:13+02
248;49;45000;2004-06-13 23:14:49+02
249;51;20000;2004-09-15 01:21:18+02
250;51;20000;2004-10-12 12:26:34+02
251;47;900;2004-10-12 12:28:30+02
252;47;900;2004-11-04 17:15:27+01
253;46;13500;2004-11-10 13:41:41+01
254;27;1200;2004-11-26 19:49:49+01
255;52;600;2004-11-26 20:08:42+01
256;46;13500;2004-11-26 20:12:41+01
257;46;13500;2004-12-01 16:23:16+01
258;52;600;2004-12-01 16:33:29+01
259;46;13500;2004-12-01 16:33:40+01
260;46;13500;2004-12-03 14:08:05+01
261;46;13500;2004-12-03 14:08:21+01
262;41;6000;2004-12-05 21:56:34+01
263;42;10000;2004-12-05 21:57:45+01
264;53;11000;2004-12-05 21:59:05+01
265;22;4000;2004-12-05 22:01:24+01
266;41;6000;2004-12-05 23:32:26+01
267;42;10000;2004-12-05 23:34:04+01
268;53;11000;2004-12-05 23:36:11+01
269;54;0;2004-12-14 13:26:28+01
270;48;3000;2005-03-26 10:55:29+01
271;48;3000;2005-05-04 16:54:54+02
272;48;3000;2005-05-05 19:44:37+02
273;48;3000;2005-05-05 19:45:21+02
274;48;3000;2005-05-05 20:44:00+02
275;48;3000;2005-05-05 20:44:22+02
276;48;3000;2005-05-06 18:28:52+02
277;48;3000;2005-05-06 18:29:33+02
278;48;3000;2005-05-06 19:51:16+02
279;48;3000;2005-05-07 02:17:12+02
280;49;45000;2005-06-02 18:23:10+02
281;50;15000;2005-06-02 18:23:22+02
282;49;45000;2005-07-05 16:02:32+02
283;50;15000;2005-07-05 16:02:41+02
284;51;18000;2005-09-23 13:18:28+02
285;54;900;2005-09-23 16:12:24+02
286;55;0;2005-09-23 16:12:37+02
287;51;18000;2005-10-19 17:26:05+02
288;55;12500;2005-10-20 10:25:58+02
289;55;12500;2005-10-20 10:31:46+02
290;22;4000;2005-10-20 10:33:20+02
291;46;14000;2005-11-10 16:34:34+01
292;46;14000;2005-11-27 18:25:13+01
293;31;200;2005-11-27 18:26:27+01
294;13;700;2005-11-27 18:27:25+01
295;46;14000;2005-11-27 18:28:12+01
296;46;14000;2005-11-27 18:28:42+01
297;46;14000;2005-11-28 16:01:44+01
298;46;14000;2005-11-28 16:04:06+01
299;46;14000;2005-12-01 13:25:18+01
300;46;14000;2005-12-01 13:25:57+01
301;46;14000;2005-12-01 15:26:16+01
302;46;14000;2005-12-01 15:28:17+01
303;42;12000;2005-12-14 13:59:38+01
304;22;4000;2005-12-14 14:01:41+01
305;22;4000;2005-12-14 14:24:22+01
306;42;12000;2005-12-14 14:24:37+01
307;53;12000;2005-12-15 17:49:41+01
308;53;12000;2005-12-16 14:35:52+01
309;56;10000;2006-03-27 20:00:10+02
310;56;10000;2006-04-02 15:37:57+02
311;56;10000;2006-04-05 15:43:02+02
312;56;10000;2006-04-05 15:43:34+02
313;56;10000;2006-04-06 19:23:24+02
314;56;10000;2006-04-06 19:24:06+02
315;48;3500;2006-04-20 20:57:20+02
316;48;3500;2006-04-20 20:57:42+02
317;56;10000;2006-05-03 10:57:30+02
318;56;10000;2006-05-03 10:57:48+02
319;57;3000;2006-05-05 14:49:00+02
320;48;3500;2006-05-05 14:49:14+02
321;48;3500;2006-05-08 10:46:29+02
322;48;3500;2006-05-08 10:47:17+02
323;50;11000;2006-05-09 17:29:58+02
324;50;11000;2006-05-09 17:30:12+02
325;49;45000;2006-05-09 17:31:14+02
326;57;1500;2006-05-24 12:11:53+02
327;54;900;2006-05-25 15:04:36+02
328;47;900;2006-05-25 15:04:43+02
329;49;45000;2006-06-23 15:16:23+02
330;50;11000;2006-06-23 15:16:32+02
331;51;18000;2006-09-06 23:33:38+02
332;42;900;2006-09-06 23:34:49+02
333;42;900;2006-09-06 23:35:13+02
334;54;900;2006-09-06 23:35:39+02
335;17;600;2006-09-28 14:12:56+02
336;20;650;2006-09-28 14:13:19+02
337;54;950;2006-09-28 14:14:34+02
338;51;18000;2006-10-27 15:10:30+02
339;58;800;2006-10-27 15:10:49+02
340;27;1500;2006-10-27 17:13:52+02
341;59;250000;2006-10-27 18:13:31+02
342;59;250000;2006-10-27 18:14:55+02
343;27;1500;2006-10-27 18:44:00+02
344;27;1500;2006-11-03 16:18:53+01
345;27;1500;2006-11-03 16:19:10+01
346;27;1500;2006-11-03 16:56:01+01
347;46;12500;2006-11-12 16:46:43+01
348;58;800;2006-11-12 16:47:02+01
349;60;5000;2006-11-14 21:44:06+01
350;46;12500;2006-11-27 13:34:48+01
351;46;12500;2006-12-01 14:35:50+01
352;46;12500;2006-12-01 14:37:05+01
353;46;12500;2006-12-01 14:38:49+01
354;46;12500;2006-12-01 14:39:03+01
355;60;5000;2006-12-09 17:33:09+01
356;11;1000;2006-12-09 17:36:30+01
357;41;10000;2006-12-09 17:37:09+01
358;11;1050;2006-12-09 18:12:11+01
359;41;10000;2006-12-09 18:12:25+01
360;57;1500;2006-12-09 18:12:40+01
361;16;675;2006-12-09 18:12:55+01
362;27;1500;2006-12-09 18:13:17+01
363;61;0;2007-01-24 14:54:03+01
364;61;0;2007-01-24 21:49:19+01
365;48;4000;2007-05-02 13:58:10+02
366;48;4000;2007-05-02 13:58:14+02
367;61;0;2007-05-02 13:58:29+02
368;48;4000;2007-05-14 15:42:10+02
369;49;45000;2007-05-15 15:23:53+02
370;50;11000;2007-05-15 15:24:06+02
371;62;5000;2007-05-24 20:25:50+02
372;62;5000;2007-05-24 20:27:07+02
373;62;5000;2007-05-24 20:29:10+02
374;59;250000;2007-05-28 16:12:49+02
375;59;250000;2007-05-28 16:15:20+02
376;50;11000;2007-06-13 17:50:38+02
377;49;45000;2007-06-13 17:50:45+02
378;50;11000;2007-06-28 14:58:04+02
379;50;11000;2007-06-28 14:58:29+02
380;49;45000;2007-06-28 15:00:22+02
381;49;45000;2007-06-28 15:00:40+02
382;39;0;2007-08-31 02:10:08+02
383;24;600;2007-08-31 16:41:49+02
384;20;600;2007-08-31 16:42:49+02
385;38;850;2007-08-31 16:42:58+02
386;17;750;2007-08-31 16:43:21+02
387;43;1100;2007-08-31 16:43:46+02
388;26;400;2007-09-02 16:17:39+02
389;29;700;2007-09-02 16:18:15+02
390;51;19900;2007-09-12 15:51:04+02
391;51;19900;2007-09-12 15:52:26+02
392;63;2500;2007-10-12 22:01:06+02
393;63;2000;2007-10-12 22:05:54+02
394;54;950;2007-10-13 02:46:08+02
395;63;2000;2007-10-15 17:39:28+02
396;51;19900;2007-10-21 23:37:05+02
397;46;15000;2007-10-26 17:17:02+02
398;29;700;2007-11-02 14:05:10+01
399;45;275;2007-11-05 20:53:38+01
400;24;600;2007-11-05 20:53:58+01
401;20;600;2007-11-05 20:54:11+01
402;2;450;2007-11-05 20:54:40+01
403;47;900;2007-11-09 16:10:01+01
404;46;15000;2007-11-28 16:14:51+01
405;46;15000;2007-12-04 15:59:50+01
406;46;15000;2007-12-04 16:03:41+01
407;46;15000;2007-12-04 16:04:08+01
408;46;15000;2007-12-04 16:04:23+01
409;41;10000;2007-12-07 16:55:50+01
410;64;4500;2007-12-07 16:56:24+01
411;41;10000;2007-12-07 16:57:04+01
412;29;700;2007-12-07 16:57:26+01
413;64;4500;2007-12-07 16:57:47+01
414;42;900;2007-12-07 16:58:28+01
415;42;900;2007-12-10 15:48:31+01
416;29;700;2007-12-10 15:48:50+01
417;40;100;2007-12-10 15:50:06+01
418;50;11000;2008-02-12 14:11:59+01
419;49;45000;2008-02-12 14:12:18+01
420;38;950;2008-02-17 15:36:39+01
421;43;1300;2008-02-19 17:25:51+01
422;38;1000;2008-02-19 17:26:38+01
423;17;850;2008-02-19 17:27:30+01
424;65;1200;2008-03-07 14:53:06+01
425;65;1200;2008-03-13 12:53:33+01
426;65;1200;2008-03-14 15:16:05+01
427;65;1200;2008-03-28 15:19:02+01
428;65;1200;2008-03-28 15:19:31+01
429;26;400;2008-03-28 17:07:54+01
430;26;500;2008-03-28 17:08:05+01
431;65;1200;2008-04-11 15:57:01+02
432;65;1200;2008-04-16 11:41:11+02
433;48;4000;2008-04-21 20:10:47+02
434;65;1200;2008-04-25 15:56:00+02
435;48;4000;2008-04-28 10:45:20+02
436;48;4000;2008-04-30 14:30:54+02
437;65;1200;2008-04-30 14:31:58+02
438;48;4000;2008-05-02 12:14:08+02
439;48;4000;2008-05-02 12:14:17+02
440;65;1200;2008-05-02 12:14:41+02
441;66;1500;2008-05-02 13:14:44+02
443;48;4000;2008-05-02 18:53:25+02
444;65;1200;2008-05-09 16:53:09+02
445;1765;1500;2008-05-30 17:57:31+02
446;1765;800;2008-05-30 18:00:49+02
447;1766;1000;2008-05-30 18:01:05+02
448;1765;800;2008-06-17 12:10:36+02
449;1765;800;2008-06-17 12:11:13+02
450;1767;1400;2008-09-05 13:53:33+02
451;65;1200;2008-09-05 16:49:44+02
452;65;1200;2008-09-05 16:50:02+02
