id;member_id;timestamp;amount
55;1273;1996-12-13 13:55:42+01;20000
56;1004;1996-12-13 13:55:57+01;15000
57;1575;1996-12-13 13:56:11+01;32000
58;3136;1996-12-13 13:56:25+01;15700
59;2549;1996-12-13 13:56:44+01;11800
60;1423;1996-12-13 13:56:59+01;20000
61;2076;1996-12-13 13:57:15+01;30700
62;3378;1996-12-13 13:57:41+01;50000
63;2230;1996-12-13 13:58:12+01;30000
64;196;1996-12-13 13:58:31+01;20000
65;1415;1996-12-13 13:58:47+01;30000
66;2962;1996-12-13 13:59:33+01;40000
67;1343;1996-12-13 13:59:57+01;20000
68;3045;1996-12-13 14:00:11+01;30000
69;2264;1996-12-13 14:00:27+01;20000
70;231;1996-12-13 14:00:42+01;20200
71;383;1996-12-13 14:01:02+01;38000
72;1821;1996-12-13 14:01:27+01;30000
73;2031;1996-12-13 14:02:24+01;20000
74;664;1996-12-13 14:03:37+01;25000
75;3376;1996-12-13 14:08:31+01;32900
76;667;1996-12-16 15:29:00+01;35000
77;815;1996-12-20 13:35:15+01;29550
78;2295;1996-12-20 13:35:48+01;10000
79;1819;1996-12-20 13:36:02+01;24200
80;3367;1996-12-20 13:36:28+01;4000
81;61;1996-12-20 22:17:59+01;25000
82;1576;1997-01-08 09:27:35+01;17200
83;2120;2001-11-23 14:19:24+01;30000
84;1200;1997-01-22 13:34:18+01;20000
85;350;1997-01-28 10:32:34+01;11400
86;1210;1997-02-12 09:26:38+01;4200
87;2934;1997-02-13 11:46:49+01;10000
88;3046;1997-02-14 14:03:39+01;40000
89;5;1997-02-14 14:04:11+01;46000
90;727;1997-02-14 14:12:34+01;29000
91;3298;1997-02-14 14:13:03+01;25000
92;1855;1997-02-14 14:13:25+01;24575
93;552;1997-02-14 14:13:43+01;18100
94;528;1997-02-14 14:14:07+01;30000
96;3153;1997-02-14 14:14:47+01;10000
97;947;1997-02-14 14:15:35+01;40000
98;2405;1997-02-14 14:15:55+01;30775
99;975;1997-02-14 14:16:20+01;20000
100;3423;1997-02-14 14:17:50+01;25000
101;2026;1997-02-14 14:18:08+01;35000
102;2689;1997-02-14 14:18:28+01;25000
103;1297;1997-02-14 14:19:43+01;40000
104;478;1997-02-14 14:20:05+01;14000
105;2767;1997-02-14 14:20:20+01;40000
106;2214;1997-02-14 14:20:42+01;27900
107;1791;1997-02-14 14:21:16+01;30650
108;1200;1997-02-14 14:21:39+01;10000
109;3455;1997-02-14 14:21:58+01;30000
110;1273;1997-02-14 14:22:18+01;50000
111;1478;1997-02-14 14:23:03+01;16900
112;1664;1997-02-14 14:23:23+01;40000
113;2096;1997-02-14 14:23:52+01;40400
115;3223;1997-02-14 14:25:03+01;30000
116;718;1997-02-14 14:25:19+01;15000
117;3449;1997-02-14 14:25:34+01;10000
118;2128;1997-02-14 14:25:51+01;30000
119;941;1997-02-21 14:02:36+01;29900
120;1134;1997-02-21 14:02:56+01;30000
121;1423;1997-02-21 14:04:57+01;20000
122;3321;1997-02-21 14:05:18+01;10000
123;1317;1997-02-21 14:06:13+01;30000
124;1949;1997-02-21 14:31:16+01;34000
125;1704;1997-02-21 14:32:08+01;20000
126;759;1997-02-21 14:32:37+01;40000
127;597;1997-02-21 14:33:04+01;5000
128;763;1997-02-21 14:33:40+01;40000
129;656;1997-02-21 14:34:55+01;35000
