id;name;price;active;deactivate_date;quantity;alcohol_content_ml;start_date
1;Diverse - Fyttetur;100;f;;0;0;
2;½L Letmælk;450;f;;0;0;
3;¼L Letmælk;250;f;;0;0;
4;¼L Skummetmælk;225;f;;0;0;
5;¼L Kærnemælk;225;f;;0;0;
6;¼L Øko Letmælk;275;f;;0;0;
7;¼L Øko Skummetmælk;250;f;;0;0;
8;½L Skummetmælk (2x¼);375;f;;0;0;
9;1L Letmælk;600;f;;0;0;
10;½L Kærnemælk (2x¼);525;f;;0;0;
11;½L soda/nestea excl. pant;1150;t;;0;0;
12;¼L Sodavand;500;f;;0;0;
13;Øl(Guld & CB 47);850;f;;0;15;
14;Øl(Grøn/Classic/Rød/Rå);650;t;;0;15.08;
15;Øl(Corona);1500;f;;0;18.2;
16;Cocio;1500;t;;0;0;
17;½L Matilde cacao;1350;f;;0;0;
18;¼L Øko Sødmælk;300;f;;0;0;
19;½L Øko Skummet (2x¼);475;f;;0;0;
20;150ml Cultura;600;f;;0;0;
21;200ml Mathilde Cacao;275;f;;0;0;
22;1 Flaske Rødvin;5000;f;;0;97;
23;1 Flaske Hvidvin;2500;f;;0;90;
24;150ml Yoghurt;600;f;;0;0;
25;¼L Øko Sødmælk;275;f;;0;0;
26;Popcorn;500;f;;0;0;
27;<h2>Chips</h2>;1500;t;2017-04-06 22:52:40+02;0;0;
28;Saltstænger;600;f;;0;0;
29;Øl(Tuborg Jul/Påske);650;f;;0;18.84;
30;Jolt;1000;f;;0;0;
31;Pant B;150;t;;0;0;
32;Kaffe/Choko(1 kop);300;t;;0;0;
33;dummyproduct;2000;f;;0;0;
34;Nestea;1300;f;;0;0;
35;kaffe - ansat;1125;f;;0;0;
36;kaffe - stud;750;f;;0;0;
37;½L soda incl. pant;1300;t;;0;0;
38;Juice;1200;f;;0;0;
39;Ansat KAFFE(1 kop);0;f;;0;0;
40;Frisk luft v. BSS;100;f;2007-12-24 21:00:01+01;0;0;
41;<h1>Snaps</h1>;7000;f;;0;280;
42;Limfjordsporter;900;f;;0;39.5;
43;½L drikkecultura;1500;f;;0;0;
44;Søm;500;f;;0;0;
45;¼L Mælk;275;f;;0;0;
46;<h3>F-Julefrokost<h3/>;10000;f;;0;0;
47;Carlsberg 47;800;f;;0;15;
48;<h2>F-sportsdag</h2>;1000;f;;0;0;
49;Kandidat betaling;50000;f;;0;0;
50;Kandidatfest - gæst;15000;f;;0;0;
51;<h2> Fyttetur </h2>;33300;f;;0;0;
52;Chokoladebar;1000;f;;0;0;
53;Fisherman;12000;f;;0;0;
54;Ale No. 16;950;f;;0;0;
55;Kort fyttetur - 2 dage;22200;t;2016-10-08 00:23:33+02;0;0;
56;FØLsmagning;10000;f;;0;0;
57;F-bog (Se E1-214);1500;f;;0;0;
58;Slik, Haribo;800;f;;0;0;
59;Rustfri stålvogn;250000;f;;0;0;
60;Indoor footballsæson;5000;f;;0;0;
61;F-acking;0;f;;0;0;
62;F-Klub krus;5000;f;;0;0;
63;Drink;2000;f;;0;0;
64;<h2>1 flaske vin</h2>;4000;f;;0;112.5;
65;<h3>Fadøl</h3>;1500;f;;0;18.4;
66;<h3>Fadøl - Julebryg</h3>;1800;f;;0;22.4;
67;Poelse med broed;800;f;;0;0;
68;Fransk Hotdog;1000;f;;0;0;
1767;Somersby/Xide;1500;f;;0;0;
1768;Æblemost;500;f;;0;0;
1769;Æblemost m. en enkelt;800;f;;0;0;
1770;Æblemost m. dobbelt;1500;f;;0;0;
1771;Island <blink><b>TILBUD!</blink>;50000;f;;0;0;
1772;Adm Gebyr;2000;f;;0;0;
1773;KB Juleøl (hvidtøl);450;f;;0;0;
1774;F (oel);900;f;;0;0;
1775;Fadøl i personligt glas;1500;f;;0;0;
1776;Dåseøl + Grimbergen;1650;f;;0;0;
1777;Lager/Special/Elefant;1000;f;;0;0;
1778;Feaster<img src='//v.ht/5fLp'/>;5500;f;;0;0;
1779;<b>2xJuleøl</b>;1000;f;;0;0;
1780;Limfjordsporter Fad;1700;f;;0;0;
1781;Famlefest;30000;f;;0;0;
1782;Special Hyttetur;12500;f;;0;0;
1783;Øko Humle/Porse Guld/Øko Påske;1000;f;;0;0;
1784;Æ Kas Kurwand;23100;f;;0;0;
1785;Bingo Plader;1000;f;;0;0;
1786;3x Bingo Plader;2500;f;;0;0;
1787;Burn Shot;1400;f;;0;0;
1789;Fames;1000;f;;0;0;
